Line #,Comment,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,,,,,,,,,,
,1k ohm,"(RC0603JR-071KL) SMD Chip Resistor, 1 kOhm, ï¿½ 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose","R12, R17, R24, R27",4,,,,,,,
,1R,RES.(1608) 0603 1 Ohms 1% 1/10W AUTOMOTIV,"R3, R30, R39, R40, R41",5,,,,,,,
,1uF,"Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1uF, Surface Mount, 0603 inch",C15,1,,,,,,,
,2.2k,Res Thick Film 0603 2.2K Ohm 1% 0.1W(1/10W) +/-100ppm/C Epoxy Pad SMD T/R,"R34, R35",2,,,,,,,
,3.3k,Res Thick Film 0603 3.3K Ohm 5% 0.1W(1/10W) ±100ppm/C Pad SMD T/R,"R10, R19",2,,,,,,,
,3.3nF,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 3.3nF, Surface Mount, 0603 inch",C12,1,,,,,,,
,3.3uH,Inductor Power Shielded Wirewound 3.3uH 20% 100KHz Iron 6A 0.03Ohm DCR T/R,L1,1,,,,,,,
,4.7k,Res Thick Film 1.6 x 0.8 mm 4.7K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,"R14, R32, R33",3,,,,,,,
,4.7uF,"Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X5R, +-15% TC, 4.7uF, Surface Mount, 0603 inch",C1,1,,,,,,,
,4.7uF,"Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 4.7uF, Surface Mount, 0805 inch",C21,1,,,,,,,
,5.1k,RES.(1608) 0603 5.1K Ohms 1% 1/10W-S 100PPM,"R25, R26",2,,,,,,,
,10k,"(RC0603JR-0710KL) SMD Chip Resistor, 10 kOhm, ï¿½ 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose","R5, R13, R22",3,,,,,,,
,10k,100mW Thick Film Resistors ±100ppm/? ±1% 10k? 0603 Chip Resistor - Surface Mount ROHS,"R7, R9, R21, R31, R36, R37, R38, R42",8,,,,,,,
,10uF,"Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 10uF, Surface Mount, 0805","C3, C17, C26, C35",4,,,,,,,
,10uF,"Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 10uF, Surface Mount, 1206 inch","C6, C7",2,,,,,,,
,22uF,"Ceramic Capacitor, Multilayer, Ceramic, 10V, 10% +Tol, 10% -Tol, X7R, 15% TC, 22uF, Surface Mount, 1206","C8, C9, C10, C13, C24, C36",6,,,,,,,
,22.1k,Res Thick Film 0603 22.1K Ohm 1% 0.1W(1/10W) ±100ppm/°C Pad SMD T/R,R4,1,,,,,,,
,33pF,50V 33pF NP0 ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C5,1,,,,,,,
,47k,RES.(1608) 0603 47K Ohms 5% 1/10W-S 100PPM,R16,1,,,,,,,
,56pF,"Multilayer Ceramic Capacitor, 56 pF, 50 V, ± 5%, C0G (NP0), 0603 [1608 Metric]",C11,1,,,,,,,
,69.8k,RES.(1608) 0603 69.8K Ohms 1% 1/10W-S 100PPM,R1,1,,,,,,,
,100nF,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603","C2, C4, C14, C16, C18, C19, C20, C22, C23, C25, C27, C28, C29, C30, C31, C32, C33, C34",18,,,,,,,
,200k,(0603SAF2003T5E) Res Thick Film 0603 200K Ohm 1% 0.1W(1/10W) ±100ppm/°C Pad SMD T/R,R6,1,,,,,,,
,330R,100Mw Thick Film Resistors 100Ppm/ 1% 330 0603 Chip Resistor Surface Mount Rohs,"R8, R11, R18, R20",4,,,,,,,
,470R,RES.(1608) 0603 470 Ohms 1% 1/10W AUTOMOTIV,"R2, R15, R23",3,,,,,,,
,"Accelerometer X, Y, Z Axis ±200g 0.05Hz ~ 1.6kHz 14-LGA (3x5)","3-Axis, ±200 g Digital MEMS Accelerometer",U9,1,,,,,,,
,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included, U.FL Surface Mount",Module; Wi-Fi/Bluetooth; transceiver; 16MB FLASH/8MB PSRAM/512KB SRAM/384KB ROM; 3.0-3.6V; 18x25.5x3.2mm,U6,1,,,,,,,
,"Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 5A 8-SOIC (0.154"", 3.90mm Width) Exposed Pad",3.8V to 40V Input 5A Low IQ Synchronous Buck Converter with Programmable Frequency 8-Pin SOIC EP T/R,U1,1,,,,,,,
,BUZZER MAGNETIC W/O CIRCUIT 3.6V 2.31-KHZ SMT,BUZZER MAGNETIC W/O CIRCUIT 3.6V 2.31-KHZ SMT,LS1,1,,,,,,,
,CONNECTOR USB C R/A TYPE 16P,"USB Connector, 24 Contact(s), Female, Right Angle, Solder Terminal, Locking, Receptacle",J5,1,,,,,,,
,DIODE SCHOTTKY 1A 40V SOD123 SMT,"Rectifier Diode, Schottky, 1 Phase, 1 Element, 1A, 40V V(RRM), Silicon","D4, D10, D13",3,,,,,,,
,DIODE SCHOTTKY 2*0.2A 30V SOT23 CATHODE LRC,BAT54C Series 30 V 200 mA SMT Small Signal Schottky Diode - SOT-23-3,D1,1,,,,,,,
,DIODE SCHOTTKY 3A 30V DO214AC (SMA) SMT,"30V, 3A, SMD Schottky Barrier Diode with 60A Surge; 1F Package Type","D7, D9",2,,,,,,,
,DIODE TVS 5.25VWM 17VC SOT23-6,STMicroelectronics USBLC6-2SC6 TVS diode surge protection on full tape reel,U7,1,,,,,,,
,DIODE TVS 600W 10V DO214AA (SMB) SMT,"Trans Voltage Suppressor Diode, 600W, 10V V(RWM), Unidirectional, 1 Element, Silicon",D16,1,,,,,,,
,DIODE TVS 1500W 14V DO214AB (SMC) SMT,DIODE TVS 1500W 14V DO214AB (SMC) SMT,D15,1,,,,,,,
,EBYTE Sx1262 E22-900M30S,EBYTE Sx1262 E22-900M30S 850 - 930 MHZ 30Dbm Lora Modül 12Km,U11,1,,,,,,,
,FERRITE BEAD 0805 180R 4A SMD,Ferrite Beads Multi-Layer Power 180Ohm 25% 100MHz 4A 0.02Ohm DCR 0805 T/R Automotive AEC-Q200,"FB2, FB6",2,,,,,,,
,FERRÝTE BEADS 600 OHM POWER MURATA,Ferrite Beads Multi-Layer 600Ohm 25% 100MHz 500mA 350mOhm DCR 0603 Paper T/R,"FB1, FB3, FB4, FB5",4,,,,,,,
,IC-816 OPTOISO SMD4 LITEON,"Transistor Output Optocoupler, 1-Element, 5000V Isolation","U3, U4",2,,,,,,,
,IC-3232 DRVR/RCVR MLTCH RS232 16TSSOP,"IC, Transceiver, RS232 (2)Transmitters/(2)Receivers, 250Kbit, TSSOP-16, -40C to +85C",U10,1,,,,,,,
,IMU ACCEL/GYRO/MAG I2C/SPI 24QFN,"Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor I2C, SPI Output",U5,1,,,,,,,
,L86-M33,"GLONASS/GPS/QZSS Module 18, 4x18, 4x6, 4mm SMD w/Antenna L86-M33",U2,1,,,,,,,
,LED SMD 0805 GREEN 18-45mcd 140° WATER CLEAR,"Single Color LED, Brilliant Yellow Green, Water Clear, 1.4mm","D3, D6",2,,,,,,,
,LED SMD 0805 RED 45~112mcd 120C,"Single Color LED, Brilliant Red, Water Clear, 1.4mm","D11, D12, D14",3,,,,,,,
,LED SMD 0805 YELLOW 28.5-72mcd 140° WATER CLEAR,"Single Color LED, Brilliant Yellow, Water Clear, 1.4mm","D5, D8",2,,,,,,,
,Low VF Schottky Rect.,DIODE SCHOTTKY 5A 40V DO214AA (SMB) SMT,D2,1,,,,,,,
,MOSFET DIS.84A 25V N-CH TDSON-8 OPTIMOS SMT,Transistor: N-MOSFET; unipolar; 25V; 84A; 37W; PG-TDSON-8,"Q1, Q4",2,,,,,,,
,MS5611-01BA03,Pressure Sensor 1.44V to 3.6V 0.01bar to 1.2bar Absolute 8-Pin QFN T/R,U8,1,,,,,,,
,OR,RES.(1608) 0603 0 Ohms 1% 1/10W,"R28, R29",2,,,,,,,
,PDI-09S-5,"Right Angle, P.C.B., 5.0mm Footprint",J6,1,,,,,,,
,R2032-1F2DV - 3V Li-MnO2,Power-Xtra CR2032-1F2DV - 3V Li-MnO2 - Lithium Buton Pil - 2 Pinli - Dikey,BT1,1,,,,,,,
,SWITCH TACT 3.65x6.10 2.50mm 180gF SMT V/T,SWITCH TACT 3.65x6.10 2.50mm 180gF SMT V/T,"SW1, SW2",2,,,,,,,
,TRANSISTOR DIS.600mA 40V NPN SOT23 GEN. SMT,Trans Gp Bjt NPN 40V 0.6A 350MW 3-PIN SOT-23 T/r,"Q2, Q3, Q5",3,,,,,,,
,XT30 Konnektör,XT30 Konnektör,"J1, J2, J3, J4",4,,,,,,,
